class,ExtractionTurbine,Sink,BackpressureTurbine,Sink
label,extr_turbine,electrical_demand,bp_turbine,heat_demand
source,extr_turbine,electrical_balance,bp_turbine,heat_balance
target,electrical_balance,electrical_demand,electrical_balance,heat_demand
attribute,max,variable_costs,max,actual_value
,0.97,-48.6,0.99,0.1237197599
,0.97,-48.35,0.99,0.1263291388
,0.97,-48.54,0.99,0.1321229022
,0.97,-44.03,0.99,0.1465407975
,0.97,-43.04,0.99,0.1831344883
,0.97,-46.82,0.99,0.2520080944
,0.97,-57.21,0.99,0.2981848543
,0.97,-70.4,0.99,0.2791958332
,0.97,-74.97,0.99,0.2578288263
,0.97,-80.88,0.99,0.2400606312
,0.97,-83.95,0.99,0.2214337026
,0.97,-82.76,0.99,0.210736122
,0.97,-81.33,0.99,0.2050894987
,0.97,-80.92,0.99,0.2052098338
,0.97,-78.49,0.99,0.2077736323
,0.97,-81.35,0.99,0.2140788775
,0.97,-94.97,0.99,0.2252491553
,0.97,-125.01,0.99,0.2405159524
,0.97,-91.35,0.99,0.2502901799
,0.97,-79.93,0.99,0.2389013683
,0.97,-67.47,0.99,0.2211595052
,0.97,-61.43,0.99,0.1839379346
,0.97,-59.93,0.99,0.1269002312
,0.97,-51.97,0.99,0.1213861267
,0.97,-45.04,0.99,0.1048325081
,0.97,-38.11,0.99,0.1082048559
,0.97,-38.9,0.99,0.1144633908
,0.97,-32.38,0.99,0.1331492885
,0.97,-33.69,0.99,0.1809885268
,0.97,-36.2,0.99,0.2419712475
,0.97,-29.97,0.99,0.2673762106
,0.97,-36.99,0.99,0.2509991663
,0.97,-39.96,0.99,0.2251413414
,0.97,-43.98,0.99,0.2047777303
,0.97,-47,0.99,0.1874311497
,0.97,-52.71,0.99,0.175142791
,0.97,-52.62,0.99,0.1686075841
